title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,source
Concrete Mathematics: A Foundation for Computer Science,Concrete Mathematics: A Foundation for Computer Science,Ronald Graham,4.34,1877,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348780612i/112243._SX50_.jpg,https://www.goodreads.com/book/show/112243.Concrete_Mathematics,goodreads_scraped
Learn You a Haskell for Great Good!: A Beginner's Guide,Learn You a Haskell for Great Good!: A Beginner's Guide,Miran Lipovača,4.3,2381,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753505i/9282423._SX50_.jpg,https://www.goodreads.com/book/show/9282423-learn-you-a-haskell-for-great-good,goodreads_scraped
A Discipline of Programming,A Discipline of Programming (Prentice-Hall Series in Automatic Computation),Edsger W. Dijkstra,4.23,182,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348910294i/2276288._SY75_.jpg,https://www.goodreads.com/book/show/2276288.A_Discipline_of_Programming,goodreads_scraped
The Society of Mind,The Society of Mind,Marvin Minsky,4.04,3377,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348639169i/326790._SX50_.jpg,https://www.goodreads.com/book/show/326790.The_Society_of_Mind,goodreads_scraped
The Psychology of Computer Programming,The Psychology of Computer Programming,Gerald M. Weinberg,4.06,606,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356139932i/1660754._SY75_.jpg,https://www.goodreads.com/book/show/1660754.The_Psychology_of_Computer_Programming,goodreads_scraped
Joel on Software,Joel on Software,Joel Spolsky,4.13,3382,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419283213i/41786._SX50_.jpg,https://www.goodreads.com/book/show/41786.Joel_on_Software,goodreads_scraped
Introduction to System Design,Introduction to System Design,Shivam    Singh,4.15,41,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624938995i/58451030._SY75_.jpg,https://www.goodreads.com/book/show/58451030-introduction-to-system-design,goodreads_scraped
The UNIX Programming Environment,The UNIX Programming Environment,Brian W. Kernighan,4.24,1315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469578824i/337338._SX50_.jpg,https://www.goodreads.com/book/show/337338.The_UNIX_Programming_Environment,goodreads_scraped
"The Art of Computer Programming, Volume 1: Fundamental Algorithms","The Art of Computer Programming, Volume 1: Fundamental Algorithms",Donald Ervin Knuth,4.38,1891,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388242904i/112247._SX50_.jpg,https://www.goodreads.com/book/show/112247.The_Art_of_Computer_Programming_Volume_1,goodreads_scraped
"Applied Cryptography: Protocols, Algorithms, and Source Code in C","Applied Cryptography: Protocols, Algorithms, and Source Code in C",Bruce Schneier,4.21,2139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387734235i/351301._SX50_.jpg,https://www.goodreads.com/book/show/351301.Applied_Cryptography,goodreads_scraped
Feynman Lectures On Computation,Feynman Lectures On Computation,Richard P. Feynman,4.26,483,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436771028i/17274._SY75_.jpg,https://www.goodreads.com/book/show/17274.Feynman_Lectures_On_Computation,goodreads_scraped
"A First Course in Logic: An Introduction to Model Theory, Proof Theory, Computability, and Complexity","A First Course in Logic: An Introduction to Model Theory, Proof Theory, Computability, and Complexity",Shawn Hedman,4.33,21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349073917i/2063650._SX50_.jpg,https://www.goodreads.com/book/show/2063650.A_First_Course_in_Logic,goodreads_scraped
An Introduction to Functional Programming Through Lambda Calculus,An Introduction to Functional Programming Through Lambda Calculus,Greg Michaelson,4.13,226,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328863452i/12169041._SX50_.jpg,https://www.goodreads.com/book/show/12169041-an-introduction-to-functional-programming-through-lambda-calculus,goodreads_scraped
Chaos: Making a New Science,Chaos: Making a New Science,James Gleick,4.03,41731,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941595i/64582._SY75_.jpg,https://www.goodreads.com/book/show/64582.Chaos,goodreads_scraped
